downright,'daunrait,"thẳng thắn, thẳng thừng, toạc móng heo, không úp mở","đích thực, rành rành, hoàn toàn hết sức, đại","(từ cổ,nghĩa cổ) thẳng đứng"
thirtieth,'θə:tiiθ,thứ ba mươi,một phần ba mươi,người thứ ba mươi; vật thứ ba mươi
merrily,'merili,"vui, vui vẻ",,
clothe,klouð,mặc quần áo cho,"phủ, che phủ",
smallness,'smɔ:lnis,sự nhỏ bé,sự ít ỏi,"sự nhỏ mọn, sự hẹp hòi"
sameness,'seimnis,"tính đều đều, tính đơn điệu","tính không thay đổi, tính giống nhau, tính như nhau, tính cũng thế",
playfully,,"ham vui đùa, khôi hài",vừa làm vừa vui đùa; không nghiêm túc,
sighting,,sự trông thấy; sự bị trông thấy,,
august,'ɔ:gəst - ɔ:'gʌst,ɔ:'gʌst/,tháng tám,"uy nghi, oai nghiêm, oai vệ, oai phong"
unjustifiable,ʌn'dʤʌstifaiəbl,"không thể bào chữa được; không thể biện bạch được, vô lý",,
personalty,,<pháp> động sản,,
fourteen,'fɔ:'ti:n,mười bốn,số mười bốn,
thine,ðain,(xem) thy,"(thơ ca); (tôn giáo) cái của mày, cái của ngươi, cái của người",
thirteen,'θə:'ti:n,mười ba,số mười ba,
classically,'klæsikəli,kinh điển,cổ điển,
opener,'oupnə,người mở,"vật để mở, cái mở (hộp, nút chai...)","(thể dục,thể thao) cuộc đấu mở màn"
your,jɔ:,"của anh, của chị, của ngài, của mày; của các anh, của các chị, của các ngài, của chúng mày",,
manic,,vui buồn thất thường,,
classmate,,bạn cùng  lớp,,
forgetfulness,fə'getfulnis,tính hay quên,,
attestation,",ætes'teiʃn","sự chứng nhận, sự nhận thực, sự chứng thực","lời chứng, lời cung khai làm chứng","sự thề, sự tuyên thệ"
hearth,hɑ:θ,"nền lò sưởi, lòng lò sưởi","khoảng lát (đá, xi măng, gạch...) trước lò sưởi","(kỹ thuật) đáy lò, lòng lò (lò luyện kim...)"
cationic,,xem cation,,
rationalist,'ræʃnəlist,người theo chủ nghĩa duy lý,,
reread,,đọc lại,,
repeater,ri'pi:tə,người nhắc lại (điều gì),đồng hồ điểm chuông định kỳ,"súng (tiểu liên, súng lục) bắn nhiều phát liền (mà không phải nạp đạn)"
menial,'mi:njəl,"(thuộc) người ở, (thuộc) đầy tớ","khúm núm, quỵ luỵ","người ở, người hầu, đầy tớ"
unmanned,'ʌn'mænd,không có người,,
lettered,'letəd,"có học, hay chữ, thông thái","có chữ in, có chữ viết vào...","(thuộc) văn chương, (thuộc) văn học"
figuratively,,"văn hoa, bóng bảy",theo phép ẩn dụ,
foggy,'fɔgi,có sương mù; tối tăm,"lờ mờ, mơ hồ, không rõ rệt",
ladyship,'leidiʃip,thân thế quý tộc (của một người đàn bà),tâu lệnh bà,
americanization,"ə,merikənai'zeiʃn",sự Mỹ hoá,,
sadistic,sæ'distik,ác dâm,thích thú những trò tàn ác,
maths,",mæθi'mætiks","môn toán, toán học",,
nineteen,'nain'ti:n,mười chín,số mười chín,(xem) dozen
eater,'i:tə,người ăn,quả ăn tươi,
cleanly,'klenli,"sạch, sạch sẽ","ưa sạch, ưa sạch sẽ; có tính sạch sẽ",
cleverness,'klevənis,"sự lanh lợi, sự thông minh",sự tài giỏi,"sự thần tình, sự tài tình"
contestant,kən'testənt,"đấu thủ, đối thủ, người tranh giải, người dự thi","người tranh luận, người tranh cãi",
subsonic,'sʌb'sɔnik,dưới âm tốc,,
fling,fling,"sự ném, sự vứt, sự quăng, sự liệng, sự lao, sự gieo (quân súc sắc)","sự nhào xuống, sự nhảy bổ",sự lu bù (ăn chơi...)
problematical,problematical,"còn phải bàn; không chắc, mơ hồ",,
olden,'ouldən,"(từ cổ,nghĩa cổ),  (văn học) xưa, ngày xưa, thuở xưa","làm cho già, làm cho yếu","già đi, yếu đi"
eventful,i'ventful,có nhiều sự kiện quan trọng,có kết quả quan trọng,
lazily,,"uể oải, lờ đờ",,
stoned,stound,"cỏ rải đá, lát đá",,
unmet,,"(đòi hỏi, mục đích...) không được đạt đến, không được thoả mãn",,
brotherly,'brʌðəli,anh em,"như anh em, anh em",
lily,'lili,hoa huệ tây; hoa loa kèn,"sắc trắng ngần, nước da trắng ngần",nước da trắng hồng
insuperable,in'sju:pərəbl,không thể vượt qua được (vật chướng ngại...); không thể khắc phục được (khó khăn...),"(từ hiếm,nghĩa hiếm) không thể hơn được, không thể vượt được",
classicism,'klæsisizm,chủ nghĩa kinh điển,sự nghiên cứu ngôn ngữ và văn học kinh điển,"lối văn kinh điển, thể văn kinh điển"
resold,'ri:'sel,bán lại,,
outage,'autidʤ,"(từ Mỹ,nghĩa Mỹ) sự ngừng chạy (máy) vì thiếu điện, thiếu chất đốt)","thời kỳ thiếu điện, thời kỳ thiếu chất đốt...","số lượng hàng mất, số lượng hàng thiếu (trong một chuyến hàng)"
notional,'nouʃənl,"(thuộc) ý niệm, (thuộc) khái niệm; tư biện",tưởng tượng (vật),"hay mơ tưởng hão, ảo tưởng (người)"
unworkable,' n'w :k bl,"không thể làm được, không thể thực hiện được",không thể cho chạy được (máy móc); không thể khai thác được (mỏ...); khó lái (tàu),
merriment,'merimənt,"sự vui vẻ, sự hớn hở; sự vui chơi",,
heaviness,'hevinis,"sự nặng, sự nặng nề","tính chất nặng, tính chất khó tiêu (đồ ăn)","tính chất nặng trình trịch, tính chất vụng về khó coi, tính chất thô"
unsightly,n'saitli,"khó coi, xấu xí, không đẹp mắt",,
copulation,",kɔpju'leiʃn",(ngôn ngữ học) sự nối,"sự giao cấu, sự giao hợp",
glade,gleid,"(địa lý,ddịa chất) trảng",,
shyly,'ʃaili,"nhút nhát, bẽn lẽn, e thẹn",,
newness,'nju:nis,"tính chất mới, tính chất mới mẻ, tính chất mới lạ",,
blankly,'blæɳkli,"ngây ra, không có thần","thẳng, thẳng thừng, dứt khoát",
repayable,ri:'peiəbl,"có thể trả lại, có thể hoàn lại","có thể báo đáp, có thể đền đáp",
mayan,,(thuộc) ngôn ngữ Maya; (thuộc) người Maya,,
mannered,'mænəd,"kiểu cách, cầu kỳ (văn phong)",,
habitable,'hæbitəbl,có thể ở được,,
she,ʃi:,"nó, bà ấy, chị ấy, cô ấy...","nó (chỉ tàu, xe... đã được nhân cách hoá), tàu ấy, xe ấy","người đàn bà, chị"
artful,'ɑ:tful,"xảo quyệt, lắm mưu mẹo; tinh ranh",khéo léo (người); làm có nghệ thuật (đồ vật),
collectivism,kə'lektivizm,chủ nghĩa tập thể,,
overgrown,'ouvə'grou,"mọc tràn ra, mọc che kín; mọc cao lên","lớn mau quá, lớn nhanh quá",lớn quá khổ
smartly,,"mạnh, ác liệt (về một cú đánh)","mạnh, gây gắt (lời phê bình)","mau lẹ, nhanh"
presuming,pri'zju:miɳ,"tự phụ, quá tự tin","lợi dụng, lạm dụng",
darken,'dɑ:kən,"làm tối, làm u ám (bầu trời)",làm sạm (da...),làm thẫm (màu...)
rateable,'reitəbl,có thể đánh giá được,có thể bị đánh thuế địa phương,"(từ cổ,nghĩa cổ) tính theo tỉ lệ"
brighten,'braitn,"làm sáng sủa, làm tươi sáng, làm rạng rỡ, làm tươi tỉnh","làm sung sướng, làm vui tươi",đánh bóng (đồ đồng)
watcher,'wɔtʃə,"người thức canh, người canh đêm",người rình,"(từ Mỹ,nghĩa Mỹ) người quan sát theo dõi (tình hình)"
fourthly,'fɔ:θli,bốn là,,
uncollected,'ʌnkə'lektid,"không tập hợp, không tập trung, không thu góp lại","không tập trung tư tưởng; không bình tĩnh, bối rối",không thu (thuế)
yours,jɔ:z,"cái của anh, cái của chị, cái của ngài, cái của mày; cái của các anh, cái của các chị, cái của các ngài, cái của chúng mày",bạn chân thành của anh (chị...) (công thức cuối thư),
carrion,'kæriən,xác chết đã thối,"cái thối tha; vật nhơ bẩn, vật kinh tởm","thối tha, kinh tởm"
idealization,"ai,diəlai'zeiʃn",sự lý tưởng hoá,,
theism,'θi:izm,(triết học) thuyết có thần,(y học) chứng trúng độc tein,bệnh nghiện trà nặng
unreality,' nri' liti,"tính chất không thực, tính chất h o huyền",(số nhiều) những điều không có thực; những điều h o huyền,
selfhood,'selfhud,"(từ Mỹ,nghĩa Mỹ) tính ích kỷ, tính chỉ nghĩ đến mình","(từ hiếm,nghĩa hiếm) cá tính, tính chất cá nhân",
warring,,đang đánh nhau; đang có chiến tranh,mâu thuẩn; xung khắc,
unpaired,'ʌn'peəd,"không có cặp, không có đôi","(giải phẫu) không có đôi, lẻ (cơ quan như gan, dạ dày...)",
walling,,sự xây tường,(kiến trúc) vật liệu xây tường; tường vách,
funerary,fju'ni:briəl,"(từ hiếm,nghĩa hiếm) (thuộc) lễ tang, (thuộc) đám ma",,
sickening,'sikniɳ,"làm lợm giọng, kinh tởm, ghê tởm","làm chán nản, làm thất vọng",
disreputable,dis'repjutəbl,"làm mang tai tiếng, làm ô danh, làm ô nhục; mang tai mang tiếng, có tiếng xấu, nhơ nhuốc, thành tích bất hảo",,
interwar,",intə'wɔ:",giữa hai chiến tranh,,
meteoric,",mi:ti'ɔrik","(thuộc) sao băng, như sao băng",khí tượng,"(nghĩa bóng) rạng rỡ trong chốc lát, sáng người trong chốc lát (như sao băng)"
unknowingly,,xem unknowing,,
eared,,có đôi tai đặc biệt,,
drumming,,tiếng lộp độp đều đều,,
saturate,'sætʃəreit,"no, bão hoà","(thơ ca) thẫm, đẫm, đậm","làm no, làm bão hoà"
towered,'tauəd,có tháp,cao vượt lên như tháp,
collectivity,",kəlek'tiviti","tập thể, đoàn thể, tập đoàn",tài sản chung; của chung,
wintering,'wint ri,"sự trú đông, sự đưa đi tránh rét",sự qua đông,
habitus,,thể trạng,habitus of the patient,thể trạng của người bệnh
thicken,'θikən,"làm cho dày, làm cho dày đặc, làm cho sít",trở nên dày,trở nên đặc
from,"frɔm, frəm",từ,"dựa vào, theo, do từ, xuất phát từ","khỏi, đừng; tách khỏi, rời xa, cách"
transfiguration,",trænsfigju'reiʃn","sự biến hình, sự biến dạng","(Transfiguration) lễ biến hình (trong đạo Cơ đốc, ngày 6 tháng 8)",
forgetful,fə'getful,"hay quên, có trí nhớ tồi",(thơ ca) làm cho quên,cẩu thả
womanly,'wumənli,(thuộc) đàn bà,nhu mì thuỳ mị,kiều mị
impute,im'pju:t,"đổ (tội...) cho, quy (tội...) cho",,
satanic,sə'tænik,"(thuộc) Xa tăng, (thuộc) ma vương; quỷ quái",,
unknowable,'ʌn'nouəbl,không thể biết được,không thể nhận thức được,
upturn,p't :n,"sự tăng, sự lên (giá c)","sự khá lên, sự tiến lên",
legate,li'geit,giáo sĩ đại diện giáo hoàng,"(từ cổ,nghĩa cổ) đại sứ; người đại diện","để lại, truyền cho"
legalistic,,"theo chủ nghĩa hợp pháp, ủng hộ chủ nghĩa hợp pháp",,
uncontested,'ʌnkən'testid,"không cãi được, không bác được",không ai tranh giành,
seventeen,'sevn'ti:n,mười bảy,số mười bảy,"tuổi trăng tròn, tuổi đôi tám"
hill,hil,đồi,"cồn, gò, đống, đụn, mô đất, chỗ đất đùn lên (mối, kiến...)",(the Hills) (Anh-Ân) vùng đồi núi nơi nghỉ an dưỡng
profanity,profanity,tính báng bổ,lời nói báng bổ; hành động báng bổ,
sonorous,sə'nɔ:rəs,kêu (âm),kêu (văn),sonorous râle (y) tiếng ran giòn
hypersonic,,(thuộc) tốc độ nhanh hơn 5 lần của âm thanh,(thuộc) tần số âm thanh cao hơn 1 ngàn triệu héc,
changer,,(Tech) máy đổi,,
midyear,'midjə:,giữa năm,(số nhiều) (thông tục) kỳ thi giữa năm,"giữa năm, vào giữa năm"
resonate,'rezəneit,vang âm; dội tiếng,(vật lý) cộng hưởng,
rightness,,sự công bằng; sự đúng đắn; sự thích đáng; sự có lý,,
rudeness,'ru:dnis,"sự khiếm nhã, sự bất lịch sự, sự vô lễ, sự láo xược; sự thô lỗ","trạng thái man rợ, trạng thái dã man","sự mạnh mẽ, sự dữ dội, sự đột ngột"
dismissive,,"thô bạo, tùy tiện",,
recuperation,"ri,kju:pə'reiʃn",sự hồi phục (sức khoẻ),sự lấy lại,(kỹ thuật) sự thu hồi
strictness,'striktnis,tính chính xác,"tính nghiêm ngặt, tính nghiêm khắc; tính nghiêm chỉnh",
repetitious,,có đặc trưng lặp đi lặp lại,,
soldering,,sự hàn,electic soldering,sự hàn điện
autumnal,ɔ:'tʌmnəl,(thuộc) mùa thu,"(thực vật học) chín vào mùa thu, nở vào mùa thu","hết thời thanh xuân, bắt đầu xế chiều"
restart,'ri:'stɑ:t,"lại bắt đầu, lại khởi đầu",,
classifiable,,có thể phân loại được,,
outlier,"'aut,laiə","người nằm ngoài, cái nằm ngoài","(từ Mỹ,nghĩa Mỹ) người đứng ngoài (một tổ chức...), người tách khỏi nhóm...","(địa lý,địa chất) phần tách ngoài (tách ra khỏi phần chính)"
storied,'stɔ:rid,được ca ngợi thành truyện; có liên quan đến truyền thuyết; được truyền thuyết thêu dệt thêm,,
cornered,'kɔ:nəd,có góc,"bị dồn vào chân tường, bị dồn vào thế bí",
hater,heitə,"người căm thù, người căm ghét",,
unopened,'ʌn'oupənd,"không mở, bị đóng lại",,
cartoonist,kɑ:'tu:nist,"người vẽ tranh đả kích, người vẽ tranh biếm hoạ",,
presumptively,,xem presumptive,,
unanswerable,ʌn'ɑ:nsərəbl,"không trả lời lại được, không cãi lại được",không thể bác được,
realizable,'riəlaizəbl,có thể thực hiện được,"có thể hiểu được, có thể nhận thức được",
ager,,xem age,,
artfully,,"khéo léo, sắc sảo",,
contestation,",kɔntes'teiʃn","sự tranh cãi, sự tranh luận",điều tranh cãi,
legibility,",ledʤi'biliti","tính dễ đọc dễ xem, tính rõ ràng",,
computerization,,"(Tech) điện toán hóa, dùng máy điện toán",,
maya,,thế giới vật chất tri giác được (ấn Độ giáo cho nó là ảo tưởng che giấu sự tồn tại tuyệt đối),,
personae,,số nhiều,xem persona,
a,/ˈeɪ/,loại a,hạng nhất,hạng tốt nhất hạng rất tốt
an,/ˈæn/,(thông tục),,
another,/əˈnəðɝ/,khác,,
april,/ˈeɪpɹəɫ/,tháng tư,,
apron,/ˈeɪpɹən/,cái tạp dề,,
as,/ˈæz/,như,,
at,/ˈæt/,ở tại (chỉ vị trí),,
autumn,/ˈɔtəm/,mùa thu,,
banana,/bəˈnænə/,cây chuối,,
be,/ˈbi/,thì,là,
bee,/ˈbi/,con ong,,
bell,/ˈbɛɫ/,cái chuông,nhạc (ở cổ ngựa...),
beside,/ˌbiˈsaɪd/,bên,bên cạnh,
between,/bitˈwin/,giữa,ở giữa,
biscuit,/ˈbɪskət/,bánh quy,,
both,/ˈboʊθ/,cả hai,,
butterfly,/ˈbətɝˌfɫaɪ/,con bướm,,
by,/ˈbaɪ/,gần,cạnh,kế
chicken,/ˈtʃɪkən/,gà con,gà giò,
coke,/ˈkoʊk/,(thông tục) (như) coca,,
cousin,/ˈkəzən/,anh (chị) con bác,em con chú,anh (em) con cô con cậu ruột
cow,/ˈkaʊ/,bò cái,,
daddy,/ˈdædi/,ba,cha,bố
december,/dɪˈsɛmbɝ/,tháng mười hai,tháng chạp,
dig,/ˈdɪɡ/,sự đào,sự bới,sự xới
do,/ˈdu/,làm,thực hiện,
doll,/ˈdɑɫ/,diện,mặc quần áo đẹp,
drum,/ˈdɹəm/,cái trống,,
each,/ˈitʃ/,mỗi,,
eighty,/ˈeɪti/,tám mươi,,
every,/ˈɛvɝi/,mỗi,mọi,
false,/ˈfɔɫs/,sai,nhầm,
farmer,/ˈfɑɹmɝ/,người tá điền,người nông dân,
february,/ˈfɛbjəˌwɛɹi/,tháng hai,,
friday,/ˈfɹaɪˌdeɪ/,ngày thứ sáu,,
garden,/ˈɡɑɹdən/,vườn,,
go,/ˈɡoʊ/,sự đi,,
hamburger,/ˈhæmbɝɡɝ/,thịt băm viên,,
hat,/ˈhæt/,cái mũ ((thường) có vành),,
he,/ˈhi/,đàn ông,con đực,
hello,/həˈɫoʊ/,chào anh,,
her,/ˈhɝ/,nó,cô ấy,bà ấy
hi,/ˈhaɪ/,này,,
his,/ˈhɪz/,của nó,của hắn,của ông ấy
hobby,/ˈhɑbi/,thú riêng,sở thích riêng,
hometown,/ˈhoʊmˌtaʊn/,quê nhà,,
i,/ˈaɪ/,một (chữ số La mã),,
if,/ˈɪf/,nếu,nếu như,
in,/ˈɪn/,ở,tại,trong (nơi chốn
its,/ˈɪts/,của cái đó,của điều đó,của con vật đó*  đại từ sở hữu
jacket,/ˈdʒækət/,áo vét tông (đành ông),áo vét (đàn bà),
july,/ˌdʒuˈɫaɪ/,tháng bảy,,
kite,/ˈkaɪt/,cái diều,,
lady,/ˈɫeɪdi/,vợ,phu nhân,
lion,/ˈɫaɪən/,con sư tử,,
march,/ˈmɑɹtʃ/,March tháng ba,,
me,/ˈmi/,tôi,tao,tớ
monday,/ˈmənˌdeɪ/,ngày thứ hai,,
my,/ˈmaɪ/,của tôi*  thán từ,,
ninety,/ˈnaɪnti/,chín mươi,,
no,/ˈnoʊ/,không,,
november,/noʊˈvɛmbɝ/,tháng mười một,,
october,/ɑkˈtoʊbɝ/,tháng mười,,
of,/ˈəv/,của,,
on,/ˈɑn/,trên,ở trên,
opera,/ˈɑpɹə/,Opêra,,
or,/ˈɔɹ/,trước,trước khi*  liên từ,
palace,/ˈpæɫəs/,cung,điện,lâu đài
picnic,/ˈpɪkˌnɪk/,cuộc đi chơi và ăn ngoài trời,,
potato,/pəˈteɪˌtoʊ/,khoai tây,,
prince,/ˈpɹɪns/,hoàng tử,hoàng thân,ông hoàng
princess,/ˈpɹɪnsɛs/,nữ vương,,
rabbit,/ˈɹæbət/,con thỏ,,
sandwich,/ˈsæmwɪtʃ/,bánh xăngđuych,,
saturday,/ˈsæˌtɪˌdeɪ/,ngày thứ bảy,,
september,/sɛpˈtɛmbɝ/,tháng chín,,
shake,/ˈʃeɪk/,sự rung,sự lắc,sự giũ
sir,/ˈsɝ/,tơ,,
sixteen,/ˈsɪkˈstin/,mười sáu*  danh từ,,
snow,/ˈsnoʊ/,tuyết,,
so,/ˈsoʊ/,như thế,như vậy,
sofa,/ˈsoʊfə/,ghế xôfa,ghế trường kỷ,
son,/ˈsən/,con trai,,
soup,/ˈsup/,xúp,canh,cháo
stone,/ˈstoʊn/,đá,,
tea,/ˈti/,cây chè,,
temple,/ˈtɛmpəɫ/,đến,điện,miếu
tennis,/ˈtɛnəs/,quần vợt,,
that,/ˈðæt/,ấy,đó,kia
their,/ˈðɛɹ/,của chúng,của chúng nó,của họ
them,/ˈðɛm/,chúng,chúng nó,họ
these,/ˈðiz/,này,,
thursday,/ˈθɝzˌdeɪ/,ngày thứ năm (trong tuần lễ),,
tiger,/ˈtaɪɡɝ/,hổ,cọp,
to,/ˈtu/,đến,tới,về
tomato,/təˈmɑˌtoʊ/,cây cà chua,,
towel,/ˈtaʊəɫ/,khăn lau,khăn tắm,
toy,/ˈtɔɪ/,đồ chơi (của trẻ con),,
t-shirt,/ˈtiˌsɝt/,áo lót dệt kim ngắn tay,,
tuesday,/ˈtjuzˌdeɪ/,ngày thứ ba (trong tuần),,
turkey,/ˈtɝki/,gà tây,,
underline,/ˈəndɝˌɫaɪn/,đường gạch dưới (một chữ...),,
until,/ənˈtɪɫ/,cho đến,cho đến khi,
up,/ˈəp/,ở trên,lên trên,lên
us,/ˈəs/,chúng tôi,chúng ta,chúng mình
vase,/ˈvɑz/,bình,lọ,
we,/ˈwi/,chúng tôi,chúng ta,
when,/ˈhwɛn/,khi nào,hồi nào,lúc nào
which,/ˈhwɪtʃ/,nào (ngụ ý chọn lựa),,
who,/ˈhu/,ai,người nào,kẻ nào
whose,/ˈhuz/,của ai,,
why,/ˈhwaɪ/,tại sao,vì sao,
yogurt,/ˈjoʊɡɝt/,sữa chua,,
yourself,/ˈjɔɹsɛɫf/,tự anh,tự chị,chính anh
